Subject,Ambiguity,Context,Procedure,Confidence,FA,Hits
1,1,1,1,7.25,0,2
2,0,0,1,7.125,1,3
3,0,0,1,8.125,0,1
4,1,0,1,6.25,1,1
5,1,1,1,7,0,1
6,0,1,0,8.5,2,2
7,1,0,0,6.875,1,4
8,1,0,0,5.25,1,3
9,1,1,1,5.125,0,1
10,1,1,0,3.633333333,1,3
11,0,0,1,4.25,1,1
12,0,1,1,6.066666667,1,2
13,1,0,0,5.875,1,1
14,1,0,0,7,2,4
15,1,1,0,5.75,2,0
16,0,1,1,7.875,1,4
17,0,0,1,9.366666667,1,1
18,0,0,1,5.875,1,2
19,0,1,1,7.5,0,3
20,1,0,1,8.5,0,1
21,0,0,0,9.625,1,4
22,1,0,1,7.125,1,2
23,0,0,0,9.375,1,3
24,0,1,1,6.875,0,1
25,1,1,0,7.25,3,2
26,1,0,1,8.25,0,2
27,0,0,1,2,1,2
28,1,1,1,6.375,0,2
29,1,0,1,7.625,0,3
30,1,1,1,6.566666667,2,2
31,1,0,0,4.75,1,2
32,1,1,1,5.625,0,0
33,0,1,1,7.875,1,3
34,0,0,0,7.75,1,4
35,1,1,0,7.875,1,3
36,0,1,1,6,0,3
37,0,1,0,9.25,1,3
38,0,0,0,7.75,0,2
39,0,1,0,8.133333333,3,2
40,0,1,1,6.625,1,2
41,1,0,1,7,1,2
42,1,1,1,7.633333333,0,1
43,0,1,0,7.875,1,3
44,1,1,1,6.625,0,2
45,1,1,1,8,0,0
46,1,0,0,9.375,2,1
47,0,0,0,6.625,3,3
48,1,1,0,8.375,2,4
49,0,1,1,9.375,0,2
50,1,1,0,7,0,2
51,1,0,1,4.625,1,4
52,1,1,1,5.5,1,1
53,0,1,0,7.125,3,2
54,0,0,1,7.8,0,1
55,0,0,0,7.125,4,2
56,1,1,0,8.125,1,2
57,1,0,1,6.625,0,3
58,1,1,1,5,1,0
59,0,1,0,8.125,0,4
60,1,1,1,9.033333333,0,1
61,0,0,1,8.875,0,3
62,0,1,1,10.7,1,1
63,0,1,1,4.5,0,3
64,0,0,0,7.5,1,3
65,0,1,1,8.25,0,1
66,1,1,0,5.5,3,1
67,0,0,0,7.875,1,3
68,1,0,1,6,1,1
69,0,1,1,8.5,0,2
70,0,1,1,7.625,0,3
71,0,1,1,6.375,0,2
72,1,0,1,4.875,0,2
73,1,0,0,9.166666667,1,5
74,1,1,0,7.666666667,2,1
75,0,1,0,8.5,0,2
76,1,0,1,9.125,1,4
77,1,0,1,7.25,0,2
78,0,0,0,9.125,2,3
79,1,0,0,6.625,0,3
80,0,1,0,6.75,4,4
81,1,0,0,6.375,0,1
82,1,1,1,7.125,3,1
83,1,1,0,6.5,1,2
84,1,0,1,6.5,1,2
85,1,1,1,6.766666667,1,1
86,0,1,1,8.366666667,0,1
87,1,0,0,7.25,1,3
88,1,1,0,7.125,3,4
89,0,0,1,7.5,0,1
90,1,1,0,5.5,3,3
91,1,0,0,9,1,4
92,1,1,0,3.125,1,1
93,0,1,1,8,0,1
94,0,1,1,8.75,1,2
95,1,0,1,9.375,1,3
96,0,0,1,8.566666667,0,2
97,0,0,0,9,0,0
98,0,1,1,5.25,2,3
99,1,1,0,6.5,1,3
100,1,0,1,8.125,1,3
101,0,1,0,4.366666667,4,2
102,1,0,0,9.125,0,2
103,1,1,1,4.25,0,2
104,0,0,0,10,1,4
105,0,0,0,8.25,1,3
106,0,1,0,9,2,4
107,0,0,0,9.375,1,3
108,1,1,0,9.625,3,2
109,0,1,1,8.9,1,1
110,1,1,0,7.5,2,4
112,0,0,1,7,1,3
113,1,1,0,7.75,3,2
114,0,0,1,8.125,0,2
115,1,1,0,5.75,2,1
116,1,1,1,8.75,1,4
117,0,0,0,8.625,1,3
118,1,1,1,6.5,1,2
119,1,1,0,8.633333333,3,2
120,1,0,0,6.5,0,0
121,0,0,1,8.5,0,1
122,0,1,0,9.875,0,4
123,0,0,0,8.033333333,1,4
124,0,1,0,8.375,3,4
125,0,1,1,5.125,0,2
126,0,0,0,9.25,4,3
127,0,0,1,7.133333333,0,2
128,1,0,0,6.25,1,2
129,0,1,1,7.375,0,1
130,1,0,1,6.625,0,1
131,0,0,0,8.875,1,2
132,1,0,0,4.366666667,1,2
133,0,0,1,9.5,0,3
134,1,1,0,9,1,3
135,1,0,1,8.625,0,3
136,1,1,0,8.5,2,4
137,0,0,0,5.625,1,3
138,0,0,1,9.25,0,1
139,0,0,1,9.75,0,2
140,0,1,1,6.625,0,2
141,1,1,1,6.25,0,2
142,1,1,1,6.625,0,2
143,1,1,1,7.5,0,1
144,0,1,1,7.125,0,1
145,1,1,0,9.75,1,2
146,0,1,1,9.625,0,2
147,0,0,1,7.375,0,2
148,1,0,0,7.5,2,2
149,0,0,1,9.875,0,2
150,0,1,1,8,0,0
151,1,0,0,6.333333333,1,1
152,1,0,0,6,1,4
153,0,0,0,8.25,1,3
154,1,0,0,6.833333333,1,2
155,0,1,0,8.25,0,2
157,0,0,1,5.375,0,1
160,1,0,1,2.375,0,1
161,1,0,0,6.833333333,1,1
162,1,0,0,7.233333333,0,2
163,1,0,0,5,1,2
164,0,0,0,8.5,1,3
165,1,0,1,6.366666667,0,0
166,0,1,1,7.375,0,2
167,1,1,1,8,0,3
168,1,0,1,5.25,1,1
169,0,1,0,10.25,0,3
170,0,1,0,8.125,4,4
171,0,0,0,9,2,3
172,1,0,1,5.75,0,1
173,1,1,1,7.4,0,4
174,1,0,1,3.625,0,1
175,1,1,1,7.125,0,3
176,0,1,0,7.75,0,3
177,0,0,1,8.625,0,2
178,1,0,0,8.25,0,3
179,1,1,0,6.625,0,3
180,0,1,1,7.125,0,3
181,0,0,0,8.125,2,2
182,0,1,0,5.625,1,4
183,1,0,0,6.125,2,3
184,0,0,1,7.5,0,1
185,0,0,1,7.875,0,2
186,1,1,0,8.875,1,2
187,1,1,1,6.875,1,1
188,1,0,1,6.875,0,1
189,0,1,0,8,1,2
191,0,1,0,4.625,0,2
192,1,0,1,3.75,0,2
194,0,0,0,7.233333333,1,4
195,0,0,0,8.875,1,3
196,0,0,1,7,0,1
197,1,1,0,9.125,2,2
198,0,1,0,9.25,0,3
199,1,0,0,7,2,2
200,1,1,1,7.375,0,0
201,0,1,1,8.75,1,1
202,0,0,1,6.875,0,2
203,0,0,1,7.75,0,0
204,1,0,1,3.625,0,1
205,1,1,1,6.125,0,3
206,0,1,0,7.875,2,4
207,1,0,0,8.25,2,2
208,1,0,0,6.375,1,3
209,1,1,1,7.333333333,0,2
210,1,1,0,9.375,0,3
211,0,0,1,8.375,1,3
212,0,1,1,7.375,0,3
213,1,0,0,5.75,1,3
214,1,0,0,6.25,0,4
215,1,1,0,8.875,1,3
216,0,1,1,4.625,0,0
217,0,0,1,8.125,1,2
218,0,0,1,7.375,2,3
219,0,1,1,6.375,0,3
220,1,0,1,8.75,1,1
221,0,0,0,8.5,2,3
222,1,0,1,7.125,0,3
223,0,0,0,9.125,1,3
224,0,1,1,8.625,0,2
225,1,1,0,7.75,2,4
226,1,0,1,8.25,0,1
227,0,0,1,8.25,1,2
228,1,1,1,7,0,2
229,0,0,1,8.25,0,3
230,1,1,1,6.5,1,2
231,1,0,0,5.75,1,2
232,1,1,1,8.125,1,1
235,1,1,0,6.375,0,2
237,0,1,0,7.4,0,4
238,0,0,0,7.125,0,3
239,0,1,0,6.375,2,2
240,0,1,1,8.875,0,0
241,1,0,1,8.125,1,2
243,0,1,0,9.375,0,1
244,1,1,1,4.375,0,2
